refno,pump_rate
233419,7
233429,7
264286,2
264301,16
264215,4.5
264326,1.5
233258,15
264371,6
233351,40
231443,6
389704,1000
233449,6
233358,8
231449,11
233444,10
389761,15
233286,2
233131,3
251112,22
233141,57
264273,15
233487,25
233171,3
233379,10
233382,5
233954,3
233459,6
233362,7
233432,15
235225,10
233457,5
233396,20
233944,6
231469,20
216980,4
233356,3
233391,50
251127,22
233369,15
233333,10
233384,15
309223,30
233502,15
233477,20
233371,20
233361,14
233417,6
251030,30
233298,13
235210,15
233354,2.5
233308,5
235185,3
251015,4
233374,25
233454,5
233328,5
315690,5
233186,2
233323,13
389762,15
240402,70
233527,157
233277,5
233307,5
233283,5
348785,1.5
406786,2
233363,15
304192,25
251117,27
217015,0.17
233243,4
233237,5
233231,43
233517,6
251627,44
233359,6
233247,5
233238,6
240197,60
233251,10
233228,3
412296,10
234055,15
233507,10
233372,12
329556,6
233252,4
233411,4
251608,12
412292,10
217118,5
233349,4
233156,80
233317,6
233401,20
251642,30
304185,10
251663,20
217008,225
233316,40
217089,1.67
217093,4
231433,8
233191,3
233241,6
233302,6
233273,6
233253,5
233263,20
234206,320
406150,1476
233181,20
406146,1509
233450,9
251592,20
233233,6
233394,20
233311,8
233242,5
233232,1200
233268,6
225396,5
233387,15
233267,5
233326,134
233321,2000
231528,6
233297,6
348527,4
233367,20
233407,3.5
309224,1000
348512,1.5
251668,20
251633,15
251587,30
283694,12
224450,5
224539,6
233397,15
224534,5
224475,5
233338,5
224524,3
233373,18
389706,623
225351,5
251617,25
225341,10
251566,20
224480,4
231473,1.5
224572,12
251623,23
233196,30
233392,7
233313,5
283693,15
233239,5
233288,5
348780,15
233280,5
251673,20
240237,15
233257,10
233462,4
283688,20
233368,5
305658,5
225401,5
225346,6
224495,5
233439,8
233343,2.5
303895,10
251678,20
240278,20
235108,15
251612,20
235090,75
225426,5
224577,1
240248,10
251677,9
251562,20
304183,15
233553,10
233512,10
240213,30
251632,20
283692,10
235118,1.5
235110,10
235045,15
235025,10
324148,50
224778,1
235088,1.5
70646,15
225436,5
225391,4
225451,5
251593,1.5
251607,2
235103,5
235075,20
251565,20
304182,12
235133,15
225376,5
235095,12
235030,12
224520,6
224544,4
225431,5
235120,12
235115,15
224510,7
3371,15
225545,1.5
348770,3
225460,2.5
224494,10
251580,23
251637,15
235065,10
240198,10
225475,13
216960,3
240191,10
304191,10
224519,7
251648,30
225535,15
235139,20
225661,15
264179,7
348745,1050
348760,1302
251567,10
224549,10
217000,1.5
309241,12
264224,20
225570,2
70648,15
224454,50
224485,5
235138,5
224586,8
264230,20
234598,15
225666,5
234623,10
231366,2.5
251582,20
224661,6
304186,15
231465,15
235064,10
235100,3
235069,15
251647,10
240252,20
251652,10
224504,5
224788,4
235063,10
235094,1
329557,26
224465,5
216985,5
324223,12
217034,6
224499,6
217044,3
217039,5
224515,7
225656,5
225539,5
235073,10
224555,5
424414,10
264184,5
217086,4
235074,10
235093,5
234593,15
439488,50
235128,10
235134,14
234618,1
225554,5
225421,5
338802,10
234564,7.5
225525,20
240247,25
225505,23
346491,10
224606,6
235123,5.5
217046,1.5
235049,20
225411,10
264401,7
225671,1
225616,3
224646,5
42795,10
225560,10
42817,35
224626,8
417206,10
217056,3
315500,503
251600,20
251597,11
217116,1.7
225500,18
217066,5
251568,30
235058,7.5
251563,6.5
303902,10
216915,5
264194,12
264199,20
264396,8
224671,5
225495,6
217061,2
235059,18
224525,5
264280,26
329555,6.5
224666,1
217082,4
251615,20
251575,30
235080,1
231425,3.5
224782,457
234588,10
251177,25
235078,20
231488,12
264346,16
217001,0.17
217076,0.07
251570,25
251603,6
225386,6
225626,1
225682,6
217104,0.5
224727,503
225569,10
235083,10
234628,3
224505,5
224500,4
70647,15
224742,503
224722,30
224656,7
225636,1
224460,5
234608,10
224787,94
243192,25
225559,5
235039,6
303904,15
346540,3
235113,20
231515,3
224631,8
272049,600
231485,3.5
231510,2.5
240223,20
225480,4
224651,8
235054,20
27116,1190
225446,5
251107,13
251598,20
240187,10
240242,7
251040,15
251045,25
1655,10
235079,12
234579,7
234643,8
224611,6
231518,3
235060,4
235084,12
261960,11
251610,60
217071,4
235029,10
217109,50
224455,8
225416,7
234603,0.5
224793,2.5
234613,6
217098,3
303903,6
217041,0.25
225371,5.5
224581,1.5
251638,10
224560,6
406746,6
224559,11
216970,5
216965,10
224535,12
225465,10
251572,25
235068,4
235129,10
231420,3
234569,35
224545,8
231361,10
231444,8
225565,4
240228,15
225686,4
225631,1
225406,10
224621,1
225591,1
234638,25
225596,4
240243,20
225366,5
225586,2.5
234633,10
235035,20
235099,10
235044,12
235089,10
225601,1
225581,0.25
48683,15
225651,6
225676,2
216950,1
235119,10
224509,42
224676,2
235034,10
225606,10
218978,60
225576,15
224530,7
224490,6
225361,80
235124,10
235024,15
225356,75
384182,20
235055,5
225490,6
235070,10
225574,7
224514,225
224750,5
216919,200
216959,680
225499,5
225549,10
225485,1
224446,6
224444,75
48728,21
224451,75
224541,5
235109,20
235040,2
224683,1.25
224466,8
225514,6
234574,8
225544,2
235114,15
264204,4
224728,1
225504,3
251571,10
225510,3
231448,4
224526,15
251602,11
217111,5
418296,7
240253,40
216945,0.33
234584,5
225550,2
48698,25
235104,18
225509,6
224472,6
224462,6
224516,7
224726,602
224556,8
224670,60
231505,9
224655,10
299566,1034
324201,545
341149,1000
348750,1261
348755,1461
381015,500
234919,10
224501,6
214370,3
224770,1
235105,25
224531,20
224660,12
225555,3
234935,11.5
234940,8
224552,8
264376,11
225641,0.5
225575,4
231419,17
224461,10
231301,7
234950,9
234657,2
264297,19
217051,0.58
234591,15
216990,0.25
225564,18
240188,13
217094,4
225553,15
224442,10
225563,10
225470,20
234637,0.5
224542,7
224456,4
224537,6
225441,6
224486,7
234601,5
224786,1250
234970,15
234925,15
412731,15
225548,15
234596,1.5
225556,2.5
224452,6
234915,20
234586,10
231470,5
234616,2
234647,5
224482,10
224492,10
216889,0.83
217114,15
42812,15
231493,19
224725,1.5
225493,3
234621,10
216934,15
234939,12
225488,20
216975,3
216955,4
234576,2
234959,10
225529,10
234934,10
224645,5
264254,10
231418,15
225483,6
348805,1
234604,5
225524,20
234960,5
384183,10
225518,5
240202,10
346954,15
224536,10
224476,10
224735,4
224785,3
224790,3
224795,2
234954,18
224780,2
234606,5
234964,18
234974,20
234920,15
234556,25
224467,5
225484,12
265790,20
447665,9
234546,6.5
234566,2
234969,20
224457,6
225537,5
231478,20
231498,18
234985,20
224487,6
234949,20
224551,8
225562,8
234905,15
234979,20
234924,20
217097,5
218973,45
234561,2
240193,50
234944,13
224453,50
231459,7
224507,75
224765,5
217106,0.2
224506,39
224546,12
224448,350
225477,2
225494,10
240203,46
286554,3
225487,5
225472,0.5
224693,2
225543,10
234995,20
234609,20
225482,2
224497,5
303878,20
